Run,Date,Start time,End/run time,Shifter,PDS expert,Active Endpoints,# triggers,type,Configuration,Issues/Comments,,,,,,,,,,,,,,,,,,,,,,
26487,28/05/2024,18:41,600 s,lperez,,"111,112,113",,LED,LED -> DCS Bias: 12V,,,,,,,,,,,,,,,,,,,,,,,
26490,28/05/2024,18:54,600 s ,lperez,,"111,112,113",,NOISE,LED -> DCS OFF; change bias to noise_tests,,,,,,,,,,,,,,,,,,,,,,,
26491,28/05/2024,19:06,600 s ,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  10Hz daq rate. Main (#969b603) firmware in all endpoints ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Test PDS fakehsi,,,,,,,,,,,,,,,,,,,,,,,
26512,29/05/2024,14:46,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 1Hz.  global_configs/np04_APA34s_DAPHNE.json. conf_datamodes set threshold to 16000. sipm bias and led off. 1kHz from daphne trigger.,No duplications,,,,,,,,,,,,,,,,,,,,,,
26513,29/05/2024,14:50,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 10Hz.,Total: 160168 - 252 duplications ,,,,,,,,,,,,,,,,,,,,,,
26514,29/05/2024,14:53,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 100Hz.,Total: 1795164 - 1571588 duplications ,,,,,,,,,,,,,,,,,,,,,,
26515,29/05/2024,14:57,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 50Hz.,Total: 884652 - 674160 duplications,,,,,,,,,,,,,,,,,,,,,,
26516,29/05/2024,15:01,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 40Hz.,Total: 921000  - 661060 duplications,,,,,,,,,,,,,,,,,,,,,,
26517,29/05/2024,15:05,180 s,wketchum,,"111,112,113",,TEST,testing PDS fakehsi only trigger 30Hz.,Total: 672937 - 423262 duplications,,,,,,,,,,,,,,,,,,,,,,
26518,29/05/2024,15:32,180 s,wketchum,,"111,112,113",,TEST,"changes in json file to check if some strange merging on the data is being made (merge_overlapping:true, timeout from 0 test with 100 and 10)","- the change_rate 40 is not applied. with the merging:true it refuses to go higher than 10Hz
- no duplications",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,LED Calibration combo,,,,,,,,,,,,,,,,,,,,,,,
26525,30/05/2024,11:48,180 s,lperez,,"111,112,113",,LED,Calib run. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 8. pulse1_width_ticks: 5. Bias DCS: 12V. DAQ trigger rate 10Hz.,Led pos 1aL (top),,,,,,,,,,,,,,,,,,,,,,
26526,30/05/2024,12:05,180 s,lperez,,"111,112,113",,LED,Ch_mask: 1,Led pos 2L (center),,,,,,,,,,,,,,,,,,,,,,
26527,30/05/2024,12:08,180 s,lperez,,"111,112,113",,LED,Ch_mask: 4,Led pos 3bL (bottom). No light here! Wrong mapping of leds?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26528,30/05/2024,12:23,180 s,lperez,,"104,105,107,109",,LED,Calib run. APA12. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 16. pulse1_width_ticks: 10. Bias DCS: 30V. DAQ trigger rate 10Hz.,Led pos 2R --> we see light in the middle of apa 2 (data seems ok we need to analyse full-stream data),,,,,,,,,,,,,,,,,,,,,,
26529,30/05/2024,12:40,180 s,lperez,,"104,105,107,109",,LED,Ch_mask: 32,Led pos 1bR (top) --> ok light where expected,,,,,,,,,,,,,,,,,,,,,,
26531,30/05/2024,15:36,225 s,lperez,,"104,105,107,109",,LED,Ch_mask: 2,Led pos 3aR (bottom) --> ok light where expected. KILLED  PROCESS BECAUSE SOMEONE TURN OFF THE LED...,,,,,,,,,,,,,,,,,,,,,,
26532,30/05/2024,15:42,180 s,lperez,,"104,105,107,109",,LED,Ch_mask: 50,3 diagonal leds --> nanorc crashed and everything needed to be rebotted. ch_mask broken (only light bottom),,,,,,,,,,,,,,,,,,,,,,
26534,30/05/2024,16:33,180 s,lperez,,"104,105,107,109",,LED,Ch_mask: 16,2R (center) --> ch_mask broken (only light bottom),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,bias-trim studies,,,,,,,,,,,,,,,,,,,,,,,
26544,31/05/2024,9:31,180 s,acervera,,"111,112,113",,LED,"LED run with nominal bias and no trim. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 1. pulse1_width_ticks: 5. Bias DCS: 12V. DAQ trigger rate 10Hz. Bias only in 111,112 and 113",,,,,,,,,,,,,,,,,,,,,,,
26546,31/05/2024,9:53,180 s,acervera,,"111,112,113",,LED,"LED run with bias and trim. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 1. pulse1_width_ticks: 5. Bias DCS: 12V. DAQ trigger rate 10Hz. Bias/trim only in 111,112 and 113
",no bias in AFE3 of ep 111. There was a 1200 protection in the script,,,,,,,,,,,,,,,,,,,,,,
26547,31/05/2024,10:22,180 s,acervera,,"111,112,113",,LED,"LED run with bias and trim. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 1. pulse1_width_ticks: 5. Bias DCS: 12V. DAQ trigger rate 10Hz. Bias/trim only in 111,112 and 113. Same as above but with correct bias for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
26549,31/05/2024,11:04,180 s,lperez,,"111,112,113",,LED,"LED run with bias and trim. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1. Ch_mask: 1. pulse1_width_ticks: 5. Bias DCS: 11V. DAQ trigger rate 10Hz. Bias/trim only in 111,112 and 113. Same as above but with correct bias for all AFEs",checks with the ssp_conf.json (not yet new version with 4095),,,,,,,,,,,,,,,,,,,,,,
26550,31/05/2024,11:17,180 s,lperez,,"111,112,113",,LED,"LED run with bias and trim. FIrst point of calibration with PDE 40% for both SiPMs. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1. Ch_mask: 1. pulse1_width_ticks: 1. Bias DCS: 12V. DAQ trigger rate 10Hz. Bias/trim only in 111,112 and 113. Same as above but with correct bias for all AFEs",HPK: +2 FBK:+3.5,,,,,,,,,,,,,,,,,,,,,,
26551,31/05/2024,11:25,180 s,lperez,,"111,112,113",,LED,Second point of calibration with PDE 45% for both SiPMs.,HPK: +2.5 FBK:+4.5,,,,,,,,,,,,,,,,,,,,,,
26552,31/05/2024,11:35,180 s,lperez,,"111,112,113",,LED,Third point of calibration with PDE 50% for both SiPMs.,HPK: +3.5 FBK:+7,,,,,,,,,,,,,,,,,,,,,,
26553,31/05/2024,12:05,180 s,lperez,,"111,112,113",,LED,LED run with bias and trim. APA34. 180 s runtime. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100. Ch_mask: 63. pulse1_width_ticks: 1. Bias DCS: 12V. DAQ trigger rate 10Hz. Operation voltages in all the channels. Ch11 in ep12 trim set to 0 to see if we recover its signal.,Checking that the json lights on in the diagonals and that the ch11 in ep 12 is alive. Still dead but it is giving a step IV (?),,,,,,,,,,,,,,,,,,,,,,
26554,31/05/2024,12:25,180 s,lperez,,"111,112,113",,LED,"LED run with bias and trim. APA34. 180 s runtime. Just increase the bias OV +4 for all the channels, no changes in the trim. WHICH OV IN FBK ? NO SIGNAL IN 113. ARE YOU SURE IT WAS ENABLED ?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DAQ JSON,,,,,,,,,,,,,,,,,,,,,,,
26585,01/06/2024,22:00,~6min,marroyav,,"111,112,113",,,testing new daphne and ssp configuration as well as different rates of daq triggers to check for inhibition,"AFE configuration failed, SSP Configuration updated, trigger rate ok at 20 Hz",,,,,,,,,,,,,,,,,,,,,,
26586,01/06/2024,22:15,~4min,marroyav,,"111,112,113",,,"testing configuration ssp at 2kHz daq at 20Hz LED bias 12V, 4 tiks, ",I do not see inhibition of the trigger rate in the daq,bias properly configured,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DAQ JSON,,,,,,,,,,,,,,,,,,,,,,,
26588,03/06/2024,11:22,180 s,lperez,,"111,112,113",,,Cosmic run for test the daq_conf.json file. APAs34. Threshold 600. Bias set from the iv_curves output.,Total: 586408 - 1380 duplications ,,,,,,,,,,,,,,,,,,,,,,
26608,03/06/2024,14:55,1200 s,lperez,,"111,112,113",,,Cosmic run. Testing daq_conf.json file. APAs34. Threshold 600. Monitoring run to see if the purity monitor affects the PDS performance and how. Also to check if PDS detects the strange events they are seeing in the TPC. 20mins runtime. DAQ trigger rate 20 Hz.,PrM start/end time: 14:58 (40s) + 15:06 (40s) + 15:16 (40s),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Calibration scan APAs 3,4",,,,,,,,,,,,,,,,,,,,,,,
26591,03/06/2024,13:00,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1000. Ch_mask: 13. pulse1_width_ticks: 1. Bias DCS: 30V.,No much light apreciated. Going to 2000% for the next one,,,,,,,,,,,,,,,,,,,,,,
26592,03/06/2024,13:02,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 2000,Many light ~400ADC amplitude. Going to make a scan with all leds,,,,,,,,,,,,,,,,,,,,,,
26593,03/06/2024,,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1350. Ch_mask: 13. pulse1_width_ticks: 1. Bias DCS: 30V.,"for (1350, 1500) steps of 10",,,,,,,,,,,,,,,,,,,,,,
26594,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1360,,,,,,,,,,,,,,,,,,,,,,,
26595,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1370,,,,,,,,,,,,,,,,,,,,,,,
26596,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1380,,,,,,,,,,,,,,,,,,,,,,,
26597,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1390,,,,,,,,,,,,,,,,,,,,,,,
26598,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1400,,,,,,,,,,,,,,,,,,,,,,,
26599,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1410,,,,,,,,,,,,,,,,,,,,,,,
26600,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1420,,,,,,,,,,,,,,,,,,,,,,,
26601,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1430,,,,,,,,,,,,,,,,,,,,,,,
26602,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1440,,,,,,,,,,,,,,,,,,,,,,,
26603,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1450,,,,,,,,,,,,,,,,,,,,,,,
26604,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1460,,,,,,,,,,,,,,,,,,,,,,,
26605,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1470,,,,,,,,,,,,,,,,,,,,,,,
26606,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1480,,,,,,,,,,,,,,,,,,,,,,,
26607,03/06/2024,,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1490,,,,,,,,,,,,,,,,,,,,,,,
26609,03/06/2024,16:00,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1490. Ch_mask: 4. pulse1_width_ticks: 1. Bias DCS: 30V.,Test with bottom led to check if it is working --> no light --> we change the external fiber,,,,,,,,,,,,,,,,,,,,,,
26619,03/06/2024,17:14,90 s,lperez,,"111,112,113",900,LED,Pulse_bias_percent_270nm: 3970. Trigger ad-hoc 0x7 set to 2000Hz.,Fixed conection of fiber 3bL (increased from 1MB to 6MB). DUP 0.01%. NOT DAPHNE PROBLEM,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calibration scan APA 2,,,,,,,,,,,,,,,,,,,,,,,
26612,03/06/2024,16:40,90 s,lperez,,109,,LED,LED run. APA2. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 4090. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V.,"Test with APA2, center led. Problems with ELiSA",,,,,,,,,,,,,,,,,,,,,,
26613,03/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 4070,,,,,,,,,,,,,,,,,,,,,,,
26614,03/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 4050,,,,,,,,,,,,,,,,,,,,,,,
26615,03/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 4030,,,,,,,,,,,,,,,,,,,,,,,
26616,03/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 4010,,,,,,,,,,,,,,,,,,,,,,,
26617,03/06/2024,,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3090,,,,,,,,,,,,,,,,,,,,,,,
26618,03/06/2024,17:05,90 s,lperez,,109,,LED,Pulse_bias_percent_270nm: 3070,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Trigger ad-hoc frequency (0x7) - Duplications not coming from DAPHNE,,,,,,,,,,,,,,,,,,,,,,,
26620,03/06/2024,17:38,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 3000. Ch_mask: 1. pulse1_width_ticks: 1. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 2000Hz.,Center led. Scan on trigger ad-hoc to see duplications etc. Datawritters info 6Mb/s. Frontend receiving 7KHz. 0% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26621,03/06/2024,17:43,90 s,lperez,,"111,112,113",,LED,Trigger ad-hoc 0x7 set to 3000Hz.,EliSA failed. Datawritters info 8.7Mb/s. Frontend receiving 10KHz. 0.09% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26622,03/06/2024,17:50,90 s,lperez,,"111,112,113",,LED,Trigger ad-hoc 0x7 set to 4000Hz.,Datawritters info  11.3Mb/s. Frontend receiving 13.5KHz. 0.3% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26623,03/06/2024,17:55,90 s,lperez,,"111,112,113",480000,LED,Trigger ad-hoc 0x7 set to 5000Hz.,Datawritters info  13.9Mb/s. Frontend receiving 16.6KHz. All evt see led. We are moving to use this trigger. 0.2% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26624,03/06/2024,18:32,90 s,lperez,,"111,112,113",,LED,Trigger ad-hoc 0x7 set to 6250Hz.,Datawritters info  17.1Mb/s. Frontend receiving 20KHz. All evt see led. We are moving to use this trigger. 0.X% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cheking duplications and daq_conf,,,,,,,,,,,,,,,,,,,,,,,
26628,04/06/2024,10:30,600 s,lperez,,109,,NOISE,Noise run for looking at the Bi source in APA2. DCS Bias OFF. Trigger ad-hoc 0x7 set to 6250Hz. 10Hz daq trigger rate.,,,,,,,,,,,,,,,,,,,,,,,
26629,04/06/2024,10:47,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 4000. Ch_mask: 128. pulse1_width_ticks: 5. Bias DCS: 30V. Checking that the tags for the broken fiber are ok.,It had to be runned with 367nm in the SSP config file,,,,,,,,,,,,,,,,,,,,,,
26631,04/06/2024,10:55,30 s,lperez,,"104,105,107,109",,LED,LED run. APAs12. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 16. pulse1_width_ticks: 1. Bias DCS: 30V. Checking correct configuration for APA 1 with new json file.,,,,,,,,,,,,,,,,,,,,,,,
26634,04/06/2024,11:27,50 s,lperez,,"104,105,107,109",,LED,LED run. APAs12. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 16. pulse1_width_ticks: 1. Bias DCS: 30V. Checking correct configuration for APA 1 with new json file.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26636,04/06/2024,13:48,180 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 1. pulse1_width_ticks: 1. Bias DCS: 30V.  Trigger ad-hoc 0x7 set to 6250Hz. 20Hz daq trgger.,Channel not aligned: 3. EP 113 down. 2xhdf5 generated. 44% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26637,04/06/2024,14:02,180 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 1. pulse1_width_ticks: 1. Bias DCS: 30V.  Trigger ad-hoc 0x7 set to 6250Hz. 20Hz daq trgger.,Channel not aligned: 3. EP 113 down.,,,,,,,,,,,,,,,,,,,,,,
26639,04/06/2024,14:44,180 s,lperez,,"111,112,113",,LED,Testing patch for duplicated wvfs in DAQ. LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 1. pulse1_width_ticks: 1. Bias DCS: 30V.  Trigger ad-hoc 0x7 set to 6250Hz. 20Hz daq trgger. ,46% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26640,04/06/2024,15:01,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_367nm: 4000. Ch_mask: 128. pulse1_width_ticks: 5. Bias DCS: 30V. Checking that the tags for the broken fiber are ok.,Tags physically changed in the platform 3aL -> 3bL,,,,,,,,,,,,,,,,,,,,,,
26641,,,,,,,,,Wesley tests ,,,,,,,,,,,,,,,,,,,,,,,
26649,04/06/2024,17:32,~4 min,marroyav,,109,,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 4. pulse1_width_ticks: 1. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 6250Hz. 20Hz daq trigger rate.,Just checking duplication path with light in apa34 and conf in apa2. Goes to 20Hz. Datawritters 11.3Mb/s. Frontend 20KHz. 46% DUPLICATIONS,,,,,,,,,,,,,,,,,,,,,,
26650,04/06/2024,17:41,~3 min,marroyav,,109,,LED,40 Hz,Datawritters 22 Mb/s. Frontend receiving rates 20KHz. 70% DUPL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calibration LED Final checks,,,,,,,,,,,,,,,,,,,,,,,
26683,05/06/2024,14:33,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 1500. Ch_mask: 4. pulse1_width_ticks: 1. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 6250Hz. 10Hz daq trigger rate.,Checking final configuration? BOTTOM LED --> No light once again,,,,,,,,,,,,,,,,,,,,,,
26685,05/06/2024,14:41,90 s,lperez,,"111,112,113",,LED,Ch_mask: 1,CENTER LED,,,,,,,,,,,,,,,,,,,,,,
26687,05/06/2024,14:43,90 s,lperez,,"111,112,113",,LED,Ch_mask: 8,TOP LED,,,,,,,,,,,,,,,,,,,,,,
26691,05/06/2024,15:16,90 s,lperez,,"104,105,107,109",,LED,LED run. APAs12. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 4000. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 6250Hz. 10Hz daq trigger rate.,CENTER LED,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26694,05/06/2024,16:20,600 s,lperez,,109,~6000,BI,"Self trigger run THR:100 ADC counts. Looking for the Bi source. Expected channels [41,43,44,46] in ep 109",Frontend receiving rates ~1KHz. ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26701,05/06/2024,19:06,600 s ,lperez,,all,,,"Cosmics with APAs 1,2,3,4.  10Hz daq rate.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Self-trigger (Esteban),,,,,,,,,,,,,,,,,,,,,,,
26713,06/06/2024,10:06,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 6250 reg 0x7. 10Hz daq rate. LED -> DCS Bias =DCS: 30V. 600s runtime. Main (#969b603) firmware in all endpoints. SSP_270->Ch_mask:1. pulse1_width_ticks:1. pulse_bias_percent_27nm:1500.",,,,,,,,,,,,,,,,,,,,,,,
26781,06/06/2024,11:37,600 s,lperez,,112,,LED,"Testing Milano self-trigger. Threshold [0x6000]:10. Firmware 1c0c690 in ep112, channels 31,33,34,36,40,42,45,47.",?? Triggering in ep113 we do not why --> Esteban fixed sintetization,,,,,,,,,,,,,,,,,,,,,,
26785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Self-trigger,,,,,,,,,,,,,,,,,,,,,,,
26840,10/06/2024,10:56,180 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 6250 reg 0x7. 10Hz daq rate. LED -> DCS Bias =DCS: 30V. 180s runtime. Main (#969b603) firmware in all endpoints. SSP_270->Ch_mask:1. pulse1_width_ticks:1. pulse_bias_percent_27nm:1500.",Only triggers in ep 113. We reconfigure the firmware in the three eps to the one in the main branch #d1c8b73,,,,,,,,,,,,,,,,,,,,,,
26851,10/06/2024,10:56,180 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 6250 reg 0x7. 10Hz daq rate. LED -> DCS Bias =DCS: 30V. 180s runtime. Main (#d1c8b73) firmware in all endpoints. SSP_270->Ch_mask:1. pulse1_width_ticks:1. pulse_bias_percent_27nm:1500.","Still not triggering in 111,112. We changed a fiber and the trigger worked in ep 112 but not in 113. Not a firmware or daphne problem --> talking with DAQ",,,,,,,,,,,,,,,,,,,,,,
26867,10/06/2024,15:46,45 s,lperez,,"104,105,107,109",,LED,"Calibration Run with APAs 1,2. 6250 reg 0x7. 10Hz daq rate. LED -> DCS Bias =DCS: 30V. 45s runtime. Main (#969b603) firmware in all endpoints. SSP_270->Ch_mask:1. pulse1_width_ticks:1. pulse_bias_percent_27nm:1500.",seems to trigger,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,After hard rebooting of felix servers all the endpoints are acquired as configured with the jsons files and shown by the spybuffers :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Self-trigger,,,,,,,,,,,,,,,,,,,,,,,
26896,11/06/2024,18:46,90 s,lperez,,"111,112,113",,LED,LED run. APAs34. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 2000. Ch_mask: 4. pulse1_width_ticks: 1. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 1000Hz. 10Hz daq trigger rate. runtime 90 s.,Trying to see light with the BOTTOM LED. Wrong configuration (left 4channels enabled from self-trigger tests),,,,,,,,,,,,,,,,,,,,,,
26897,11/06/2024,18:52,90 s,lperez,,"111,112,113",,LED,"Calibration Run. Bias DCS:30V. Tests 270nm: SSP_config. mask_channel:1, ticks_width:1, Pulse_bias_percent_270nm: 400",Start scan on the CENTER LED to define final percentage value (400 to 1500 in steps of 200),,,,,,,,,,,,,,,,,,,,,,
26898,11/06/2024,18:54,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 600,,,,,,,,,,,,,,,,,,,,,,,
26899,11/06/2024,18:57,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 800,,,,,,,,,,,,,,,,,,,,,,,
26900,11/06/2024,19:01,90 s,lperez,,"111,112,113",,LED,Pulse_bias_percent_270nm: 1000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Calibration LED Final checks,,,,,,,,,,,,,,,,,,,,,,,
,APA1 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26912,12/06/2024,10:17,180 s,lperez,,"104,105,107",3600 wvf,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: burst, burst_count: 6250, pulse_bias_percent_270nm: 4000. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. 10Hz daq trigger rate. runtime 180 s. 100 mus daq window.",** FULL-STREAM BEGINNING OF WVF ALWAYS WITH BIG PULSE **,,,,,,,,,,,,,,,,,,,,,,
26963,13/06/2024,10:21,180 s,lperez,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: burst, burst_count: 6250, pulse_bias_percent_270nm: 4000. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 180 s. 1 ms daq window.",bigger daq_window. expecting 6 pulses (tunning burst_mode value) 107 giving timing aligment problems (--> move np04 fibers) We do not see equispaced pulses (?),,,,,,,,,,,,,,,,,,,,,,
26994,13/06/2024,17:56,180 s,lperez,,"104,105,107",,LED,"LED run. APA1. Tests 367nm: SSP_config. pulse_mode: burst, burst_count: 250, pulse_bias_percent_367nm: 2000. Ch_mask: 256. pulse1_width_ticks: 1. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 10Hz. 10Hz daq trigger rate. runtime 180 s. 1 ms daq window.",,,,,,,,,,,,,,,,,,,,,,,
,Change in the configuration file to make the larger the pretrigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27099,14/06/2024,18:16,60 s,lperez,,"104,105,107",,LED,"LED run. APA1. Tests 270nm: SSP_config. pulse_mode: burst, burst_count: 1, pulse_bias_percent_270nm: 4000. Ch_mask: 16. pulse1_width_ticks: 5. Bias DCS: 30V. Trigger ad-hoc 0x7 set to 20Hz. runtime 60 s. 1 ms daq window.",We expect one waveform in the middle of the window and from there we can tune the SSP.,,,,,,,,,,,,,,,,,,,,,,
